Date,Close,Open,High,Low,Vol.,Change %
"Sep 27, 1999",600.67,600.67,600.67,600.67,0,1.18%
"Sep 28, 1999",604.34,604.34,604.34,604.34,0,0.61%
"Sep 29, 1999",590.44,590.44,590.44,590.44,0,-2.30%
"Sep 30, 1999",594.47,594.47,594.47,594.47,0,0.68%
"Oct 01, 1999",592.26,592.26,592.26,592.26,0,-0.37%
"Oct 04, 1999",605.9,605.9,605.9,605.9,0,2.30%
"Oct 05, 1999",610.13,610.13,610.13,610.13,0,0.70%
"Oct 06, 1999",616.16,616.16,616.16,616.16,0,0.99%
"Oct 07, 1999",608.79,608.79,608.79,608.79,0,-1.20%
"Oct 08, 1999",609.51,609.51,609.51,609.51,0,0.12%
"Oct 11, 1999",614.33,614.33,614.33,614.33,0,0.79%
"Oct 12, 1999",604.24,604.24,604.24,604.24,0,-1.64%
"Oct 13, 1999",587.77,587.77,587.77,587.77,0,-2.73%
"Oct 14, 1999",586.67,586.67,586.67,586.67,0,-0.19%
"Oct 15, 1999",572.14,572.14,572.14,572.14,0,-2.48%
"Oct 18, 1999",563.1,563.1,563.1,563.1,0,-1.58%
"Oct 19, 1999",552.71,552.71,552.71,552.71,0,-1.85%
"Oct 20, 1999",577.88,577.88,577.88,577.88,0,4.55%
"Oct 21, 1999",566.88,566.88,566.88,566.88,0,-1.90%
"Oct 22, 1999",568.34,568.34,568.34,568.34,0,0.26%
"Oct 25, 1999",568.96,568.96,568.96,568.96,0,0.11%
"Oct 26, 1999",572.92,572.92,572.92,572.92,0,0.70%
"Oct 27, 1999",568.25,568.25,568.25,568.25,0,-0.82%
"Oct 28, 1999",580.21,580.21,580.21,580.21,0,2.10%
"Oct 29, 1999",605,605,605,605,0,4.27%
"Nov 01, 1999",605.76,605.76,605.76,605.76,0,0.13%
"Nov 02, 1999",606.02,606.02,606.02,606.02,0,0.04%
"Nov 03, 1999",615.33,615.33,615.33,615.33,0,1.54%
"Nov 04, 1999",621.92,621.92,621.92,621.92,0,1.07%
"Nov 05, 1999",629.38,629.38,629.38,629.38,0,1.20%
"Nov 08, 1999",635.81,635.81,635.81,635.81,0,1.02%
"Nov 09, 1999",631.25,631.25,631.25,631.25,0,-0.72%
"Nov 10, 1999",642.52,642.52,642.52,642.52,0,1.79%
"Nov 11, 1999",655.44,655.44,655.44,655.44,0,2.01%
"Nov 12, 1999",655.1,655.1,655.1,655.1,0,-0.05%
"Nov 15, 1999",647.48,647.48,647.48,647.48,0,-1.16%
